Branch,Contract No,Company Name,Monthly Fee,Manager,Contact,Address,Latitude,Longitude,Status,Checked
서대문,52238249,주식회사 한결이엔씨,200000,미배정,010-8364-0037,서울 은평구 대조동 ********,37.61261,126.9227835,미확인,False
서대문,52238315,주식회사 한결이엔씨 1층,200000,미배정,010-8364-0037,서울 은평구 대조동 ********,37.61261,126.9227835,미확인,False
서대문,52238328,주식회사 한결이엔씨 2층,200000,미배정,010-8364-0037,서울 은평구 대조동 ********,37.61261,126.9227835,미확인,False
서대문,52238334,주식회사 한결이엔씨3층-EVS,200000,미배정,010-8364-0037,서울 은평구 대조동 ********,37.61261,126.9227835,미확인,False
서대문,52238343,주식회사 한결이엔씨 4층-EVS,200000,미배정,010-8364-0037,서울 은평구 대조동 ********,37.61261,126.9227835,미확인,False
강북,52022989,주식회사 브랜드바이브,40000,정승원,010-9717-3312,서울 성동구 성수동1가 ********,37.5435,127.03742,미확인,False
의정부,52229374,낚시터,60000,미배정,010-5420-0645,경기 포천시 영중면 ********,38.0061106,127.2444728,미확인,False
강릉,50540614,(주)대경씨푸드-영상,40000,미배정,010-4145-2525,강원 강릉시 주문진읍 ********,37.8953624,128.831436,미확인,False
중앙,50789484,공차한양대한양플라자점,37000,미배정,010-4205-5356,서울 성동구 사근동 ********,37.5589948,127.0480281,미확인,False
강릉,51780035,(주)대경씨푸드-방범,60000,미배정,--,강원 강릉시 주문진읍 ********,37.8953624,128.831436,미확인,False
남양주,51319907,신흥정보통신창고,60000,미배정,010-3330-5706,경기 남양주시 별내면 ********,37.7027169,127.1248544,미확인,False
강북,52203092,블루엘리펀트-서울숲쇼룸(GiGAeyes guard),64000,정승원,010-5289-9977,서울 성동구 성수동1가 ********,37.5435,127.03742,미확인,False
고양,51535084,유니룩스-창고동(GiGAeyes guard),70000,미배정,010-5266-3625,경기 파주시 산남동 ********,,,미확인,False
의정부,50750679,서익자사업장(OCT),54000,미배정,010-5217-9721,경기 양주시 고암동 ********,37.812769,127.077532,미확인,False
강북,51506419,건대 놀거리셀프사진관,31000,정승원,010-7677-7818,서울 광진구 화양동 ********,37.5435296,127.0721435,미확인,False
고양,50225811,코아스1공장 연구동(OCT),81500,미배정,010-5347-2540,경기 파주시 탄현면 ********,37.8051491,126.7180566,미확인,False
고양,50225811,코아스1공장 연구동(OCT),43464,미배정,010-5347-2540,경기 파주시 탄현면 ********,37.8051491,126.7180566,미확인,False
고양,50724390,코아스1공장AB동(OCT),67500,미배정,010-5347-2540,경기 파주시 탄현면 ********,37.8051491,126.7180566,미확인,False
고양,51582407,포차천국탄현점(GiGAeyes guard),55000,미배정,--,경기 고양시 일산서구 탄현동 ********,,,미확인,False
강북,51991873,넥스트피씨방-무인PC,220000,정승원,010-6345-3919,서울 광진구 화양동 ********,37.5435296,127.0721435,미확인,False
서대문,52177715,에스엠비 1층,170000,미배정,010-1111-1234,서울 은평구 응암동 ********,37.5926573,126.9216114,미확인,False
서대문,52177720,에스엠비 2층,170000,미배정,010-1111-1234,서울 은평구 응암동 ********,37.5926573,126.9216114,미확인,False
서대문,52177762,에스엠비-3층,170000,미배정,010-9190-3188,서울 은평구 응암동 ********,37.5926573,126.9216114,미확인,False
서대문,52177769,에스엠비 4층,170000,미배정,010-9190-3188,서울 은평구 응암동 ********,37.5926573,126.9216114,미확인,False
서대문,52190828,에스엠비-창고,200000,미배정,010-9190-3188,서울 은평구 응암동 ********,37.5926573,126.9216114,미확인,False
서대문,52190851,에스엠비-옥상,200000,미배정,010-1111-1234,서울 은평구 응암동 ********,37.5926573,126.9216114,미확인,False
고양,52235800,주식회사담소정,63000,미배정,010-2313-5519,경기 고양시 덕양구 주교동 ********,37.6582746,126.8345367,미확인,False
원주,52059925,태성개발(주)_출입통제,25000,미배정,010-4399-2529,강원 인제군 북면 ********,38.1547,128.27409,미확인,False
원주,52059962,태성개발(주)_view,25000,미배정,010-4399-2529,강원 인제군 북면 ********,38.1547,128.27409,미확인,False
고양,52194995,닥터모락 일산주엽점,37000,미배정,010-8597-8729,경기 고양시 일산서구 주엽동 ********,,,미확인,False
고양,50361919,코아스1공장사무동(OCT),73500,미배정,010-5347-2540,경기 파주시 탄현면 ********,37.8051491,126.7180566,미확인,False
고양,51153544,카페리베르떼(OCT),55000,미배정,010-9022-2392,경기 고양시 일산구 대화동 ********,,,미확인,False
고양,51455220,문산노외주차장,30000,미배정,010-8351-8528,경기 파주시 문산읍 ********,37.8566028,126.7909186,미확인,False
강북,52092594,(주)유화이앤씨,41000,김창곤,010-7147-0527,서울 동대문구 이문동 ********,37.60021,127.06124,미확인,False
의정부,50455979,대원물산(OCT뷰),30000,미배정,010-8636-8068,경기 양주시 남면 ********,37.9103995,126.9573713,미확인,False
중앙,52030886,레스트인네이처(안녕인사동점),25000,미배정,010-5054-4092,서울 종로구 관훈동 ********,37.5742524,126.9845658,미확인,False
강북,52099240,소사면옥,38000,미배정,010-8859-3946,서울 광진구 능동 ********,37.55444,127.08156,미확인,False
의정부,50375817,디액션-망월사점(OCT),114000,미배정,010-9030-6800,경기 의정부시 호원동 ********,37.7209175,127.0474541,미확인,False
강북,51158155,부광교회,48000,정승원,010-6750-5880,서울 광진구 구의동 ********,37.5444896,127.0874678,미확인,False
의정부,51385104,포스탑프라자(GiGAeyes guard),110000,미배정,010-2295-7990,경기 의정부시 민락동 ********,,,미확인,False
중앙,51999739,서울부설초등학교(출입통제),100000,미배정,010-3580-4991,서울 종로구 이화동 ********,37.57663,127.00515,미확인,False
의정부,51703626,남건이앤에스주유저장소(GiGAeyes guard),145000,미배정,010-3241-7315,경기 양주시 광적면 ********,37.824578,126.9836181,미확인,False
중앙,51900970,로나,35000,미배정,010-5290-2596,서울 중구 신당동 ********,37.5651969,127.01322,미확인,False
의정부,51895268,한가어죽-양주옥정점,40000,미배정,010-5932-4930,경기 양주시 옥정동 ********,37.8221515,127.0929342,미확인,False
고양,51908782,이혜리님가정집,35000,미배정,010-8191-1197,경기 고양시 덕양구 성사동 ********,,,미확인,False
고양,52027800,월드타워건설18차(타워크레인),80000,미배정,010-3657-1749,경기 파주시 다율동 ********,,,미확인,False
의정부,51976175,나린코퍼레이션별관(GiGAeyes guard),80000,미배정,010-4116-6122,경기 포천시 정교리 ********,,,미확인,False
남양주,20535772,토마토수상레져(OCT),60000,미배정,010-3732-4462,경기 양평군 강하면전수리 ********,,,미확인,False
고양,50225813,코아스2공장사무동(OCT),65000,미배정,010-5347-2540,경기 파주시 탄현면 ********,37.8051491,126.7180566,미확인,False
남양주,52014567,정품주유소gigaeyes뷰(NVR),83000,미배정,010-9578-8802,경기 양평군 용문면 ********,37.5022823,127.5915757,미확인,False
중앙,52219144,우드랜드개발(이태원225-34),40000,미배정,010-8013-2707,서울 용산구 이태원동 ********,37.53842,126.992,미확인,False
중앙,51862821,하구,70000,미배정,010-3265-5767,서울 종로구 익선동 ********,37.5743576,126.9897757,미확인,False
중앙,52237360,풍년식당,80000,미배정,010-7795-5356,서울 종로구 화동 ********,37.5806742,126.982769,미확인,False
강북,51548501,퀸즈램(GiGAeyes guard),41000,미배정,연락처없음,서울 노원구 상계2동 서울 노원구 노해로85길 10-55 소담빌 상가1층,,,미확인,False
강북,52291531,신구아파트(EV-Safer),100000,미배정,연락처없음,서울 강북구 미아동 1352 주차장,,,미확인,False
서대문,52257862,아산온재활의학과,180000,미배정,연락처없음,서울 은평구 응암동 254 3층,,,미확인,False
